Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS,,,,,,,,,,,,,,
71S-2.1,Star,3h00,-30.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
71S-3.1,Star,3h00,-25.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
71S-2.2,Star,3h00,-20.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
71S-3.2,Star,3h00,-15.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.3,Star,3h00,-5.00,16-17.11.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.4,Star,3h00,0.00,16-17.11.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.4,Star,3h00,5.00,16-17.11.1988,9m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.5,Star,3h00,10.00,16-17.11.1988,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.5,Star,3h00,15.00,16-17.11.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.6,Star,3h00,20.00,16-17.11.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.6,Star,3h00,25.00,16-17.11.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.7,Star,3h00,30.00,16-17.11.1988,11m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.7,Star,3h00,35.00,16-17.11.1988,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.8,Star,3h00,40.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,0. разводы,,,,,,,,,,,,,,
72S-2.9,Star,3h00,45.00,16-17.11.1988,11m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.9,Star,3h00,55.00,16-17.11.1988,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.10,Star,3h00,50.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.10,Star,3h00,65.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.11,Star,3h00,70.00,16-17.11.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.11,Star,3h00,75.00,16-17.11.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.12,Star,3h00,80.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,0. скол,,,,,,,,,,,,,,
72S-3.12,Star,3h00,85.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.13,Star,3h00,90.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.13,Star,2h30,50.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.14,Star,2h30,60.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,"0. пятна, засветка",,,,,,,,,,,,,,
72S-3.14,Star,2h30,65.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.15,Star,3h30,45.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-3.15,Star,3h30,50.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
72S-2.16,Star,1h30,55.00,16-17.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-2.1,Star,7h00,70.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-3.1,Star,7h00,75.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-2.2,Star,7h00,80.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-3.2,Star,7h00,85.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-2.3,Star,7h00,90.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-3.3,Star,7h00,70.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-3.4,Star,8h00,80.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-2.6,Star,9h00,80.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-3.6,Star,10h00,70.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-2.7,Star,10h00,75.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-3.7,Star,10h00,80.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-2.8,Star,10h00,85.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
73S-3.8,Star,10h00,90.00,11-12.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
74S-2.2,Star,10h00,0.00,13-14.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
74S-3.2,Star,10h00,5.00,13-14.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
74S-2.3,Star,10h00,10.00,13-14.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
74S-3.3,Star,10h00,15.00,13-14.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
74S-2.4,Star,10h00,20.00,13-14.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
74S-3.4,Star,10h00,25.00,13-14.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
74S-2.5,Star,10h00,30.00,13-14.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
74S-3.5,Star,10h00,35.00,13-14.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
74S-2.6,Star,10h00,40.00,13-14.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
74S-3.6,Star,10h00,45.00,13-14.03.1989,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-334,Halley,,,04-05.01.1986,20m,19h29,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-335,Halley,,,04-05.01.1986,20m,19h59,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-337,Halley,,,06-07.01.1986,20m,19h12,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-338,Halley,,,06-07.01.1986,20m,19h35,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-339,Halley,,,06-07.01.1986,20m,19h58,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-340,Halley,,,06-07.01.1986,20m,20h16,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-336-st,psi-Ori,05h27,03.06,05-06.01.1986,20m,22h50,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-341-st,psi-Ori,05h27,03.06,06-07.01.1986,20m,22h43,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-342-st,psi-Ori,05h27,03.06,06-07.01.1986,20m,23h28,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-343-st,psi-Ori,05h27,03.06,06-07.01.1986,20m,01h28,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-cal1,Calibrovka,,,06-07.01.1986,7m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
75S-cal2,Calibrovka,,,05-06.01.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
76S-10-3,Tuttle,10h08,37.15,06-07.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
76S-10-4,Tuttle,10h10,34.40,08-09.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
76S-222-10,Tuttle,10h18,37.15,06-07.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
76S-222-11,Tuttle,10h18,37.15,06-07.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
76S-215-2,Tuttle,10h16,30.40,11-12.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
76S-216-6,Tuttle,10h22,23.53,15-16.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,0. засветка,,,,,,,,,,,,,,
76S-11-3,Tuttle,10h10,34.40,08-09.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
76S-216-8,Tuttle,10h22,23.53,15-16.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
77S-220-8,Oterma,5h31,21.38,04-05.12.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
77S-226-2,Oterma,5h31,24.56,10-11.12.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
77S-226-3,Oterma,5h31,24.56,10-11.12.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
77S-226-9,Oterma,5h31,24.56,10-11.12.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
77S-227-2,Oterma,5h31,26.02,12-13.12.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
77S-2.2,Trifid-lagoon,18h00,-23.00,05-06.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,0. засвет,,,,,,,,,,,,,,
77S-3.2,Trifid-lagoon,18h00,-23.00,05-06.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
77S-77986,alf-Cyg,20h21,40.00,20-21.10.1985,20m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
77S-2.2,gam-Cyg,20h45,33.00,06-07.09.1985,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
78S-240-6,Oterma,5h54,43.18,30-31.01.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
78S-243-6,Oterma,6h03,43.53,05-06.02.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
78S-244,Oterma,6h37,44.17,25-26.02.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
78S-245-3,Penther,6h52,87.32,13-14.03.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
78S-245-4,Penther,6h53,87.30,13-14.03.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
78S-248-4,Penther,6h53,87.30,25-26.03.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
78S-248-3,Oterma,5h49,42.50,25-26.03.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
78S-237,Oterma,5h49,42.50,26-27.01.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
79S-6-1,C/1980 O1 (Cernis-Petrauskas),14h30,26.21,03-04.09.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
79S-6-2,C/1980 O1 (Cernis-Petrauskas),14h30,26.21,03-04.09.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
79S-7-1,C/1980 O1 (Cernis-Petrauskas),14h38,25.18,06-07.09.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
79S-7-2,C/1980 O1 (Cernis-Petrauskas),14h38,25.18,06-07.09.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
79S-8-1,C/1980 O1 (Cernis-Petrauskas),14h42,25.02,07-08.09.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
79S-8-2,C/1980 O1 (Cernis-Petrauskas),14h42,25.02,07-08.09.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
80S-10-1,38P(Stephan-Oterma),5h19,8.15,06-07.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
80S-11-1,38P(Stephan-Oterma),5h21,9.27,08-09.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
80S-11-2,38P(Stephan-Oterma),5h21,9.27,08-09.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
80S-214-2,38P(Stephan-Oterma),5h23,10.33,11-12.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
80S-214-4,38P(Stephan-Oterma),5h23,10.33,11-12.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
80S-216-3,38P(Stephan-Oterma),5h25,12.05,15-16.11.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
80S-9-2,38P(Stephan-Oterma),4h15,0.10,18-19.09.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
80S-9-3,38P(Stephan-Oterma),4h15,0.10,18-19.09.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
80S-9-4,38P(Stephan-Oterma),4h15,0.10,18-19.09.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
81S-226-10,38P(Stephan-Oterma),5h31,24.43,10-11.12.1980,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
81S-230-1,38P(Stephan-Oterma),5h34,37.31,06-07.01.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
81S-230-2,38P(Stephan-Oterma),5h34,37.31,06-07.01.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
81S-230-3,38P(Stephan-Oterma),5h34,37.31,06-07.01.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
81S-232-1,38P(Stephan-Oterma),5h34,37.50,07-08.01.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
81S-232-2,38P(Stephan-Oterma),5h34,37.50,07-08.01.1981,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
204-11,NGC7006,21:00:26,16:08:27,,2h,,,,AZT-8,,,,,,,,,,,,,,,,
204-12,NGC884 (khi Per),02:17:58,57:04:38,,10m,,,,,,,,,,,,,,,,,,,,
205-1,,,,12-13.02.1965,,,,13x16,,,,,,,,,,,,,,,,,
205-2,,,,12-13.02.1965,,,,13x16,,,,,,,,,,,,,,,,,
205-3,NGC2068,,,12-13.02.1965,,,,13x16,,,,,,,,,,,,,,,,,
205-4,,,,12-13.02.1965,,,,,,,,,,,,,,,,,,,,,
205-3, C/1969 Y1(Bennett),,,30-31.03.1970,5m,,,,,,,,,,,,,,,,,,,,
205-5,,,,12-13.02.1965,,,,,,,,,,,,,,,,,,,,,
