Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC   (градусы),DATE-OBS,exposition ,TIME-OBS (tзв-s),TIME-END,Т декретное ??? необходимо перевести в UT,SIZE,TELESCOPE,OBSERVER,COMMENTS,
7-1148-Cal,Calibrovka,,,06-07.10.1954,20m;20m;20m; 20m;20m;30m; 20m,22h56m;23h18m;23h57m; 00h20m;03h12m;03h25m; 03h54m,23h16m;23h38m;00h17m; 00h40m;03h32m;03h55m; 04h14m,22h56m,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5C,  пластинки Gelb rapid + ж.c.18,калибровка к снимку 7-1148 и 7-1147-st. 1d-2.0; 2d-2.5; 3d-3.0; 4d-3.5; 5d-2.5; 6d-3.0; 7d-1.5",
7-1150,NPS (α UMi)   Полярная звезда,02h31m,89.16,07-08.10.1954,20m,04h06m,04h26m,04h06m,"7,9*9,7cm",50cm менисковый телескоп Максутова,,"t= + 11C,  пластинки Jsop JSS + к.ф. III. Стандарт к снимку 7-1152",
7-1151,NPS (α UMi)   Полярная звезда,02h31m,89.16,07-08.10.1954,20m,04h34m,04h54m,04h34m,"9,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 11C,  пластинки Jsop JSS + к.ф. III. Стандарт к снимку 7-1152",
7-1152-Cal,Calibrovka,,,07-08.10.1954,10m;10m;10m; 10m;10m;10m; 10m,02h47m;02h58m;03h10m; 03h22m;04h09m;04h24m; 04h45m,02h57m;03h08m;03h20m; 03h32m;04h19m;04h34m; 04h45m,02h47m,"3,2*9,7cm",50cm менисковый телескоп Максутова,,"t= + 11C,  пластинки Jsop JSS + к.ф. III. Калибровка к снимкам 7-1152, 7-1151, 7-1150.",
7-1156-st,π¹ Cyg (Cyg-pi),21h42m,51.11,29-30.10.1954,40m,03h29m,04h09m,03h29m,"7,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 11C,  пластинки Jsop JSS + к.ф. III,  стандарт  к снимку 7-1156. ",
7-1156-Cal,Calibrovka,,,29-30.10.1954,11m;10m;10m; 10m;10m;10m; 10m,03h38m;03h50m;04h01m; 04h22m;04h34m;04h46m; 04h57m,03h49m;04h00m;04h11m; 04h32m;04h44m;04h56m; 05h07m,03h38m,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 11C,  пластинки Jsop JSS + к.ф. III,  калибровка к снимку 7-1156 и 7-1156-st. ",
7-1217-st,"звезды ζ , ε , δ Ориона(Stars-Orion)",,,11-12.01.1955,20m,02h19,02h39m,02h19,"8,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 6.5C,  пластинки Jsop F 17/10 Din + к.c. 10,  стандарт  к снимку  7-1217.",
7-1218-st,"звезды ζ , ε , δ Ориона(Stars-Orion)",,,11-12.01.1955,7m,02h58m,03h05m,02h58m,"8,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 6.5C,  пластинки Jsop JSS + к.c. III,  стандарт к снимку 7-1218.",
7-1218-Cal,Calibrovka,,,11-12.01.1955,5m;5m;5m;5m;  5m;5m;4m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 6.5C,  пластинки Jsop JSS + к.c. III, калибровка к снимкам  7-1218st. и 7-1218. 1d-1.0; 2d-1.5; 3d-2.0; 4d-2.5; 5d-3.0 ;6d-1.5; 7d-2.0",
7-1239-st,"звезды ζ , ε , δ Ориона(Stars-Orion)",,,30-31.01.1955,35m,05h09m,05h44m,05h09m,"8,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 0 C,  пластинки Jsop F 17/10 Din + к.c. 13, стандарт к снимку 7-1239.",
7-1240-st,"звезды ζ , ε , δ Ориона(Stars-Orion)",,,30-31.10.1955,20m,06h23m,06h43m,06h23m,"9,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 0C,  пластинки Special Gelb rapid + o.c.II,  стандарт к снимку 7-1240.",
7-1241-a-st,"звезды ζ , ε , δ Ориона(Stars-Orion)",,,30-31.10.1955,41m,08h20m,09h01m,08h20m,"8,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 0C,  пластинки Astro uns  + к.ф.III,  стандарт к снимку 7-1240.",
7-1243-st,"звезды ζ , ε , δ Ориона(Stars-Orion)",,,12-13.02.1955,40m,08h12m,08h52m,08h12m,"7,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 3.5C,  пластинки Infra rot 700 (очувствленные после зкспозиции) + к.ф. 19, стандарт к снимку 7-1243.",
7-1259-st,"звезды ζ , ε , δ Ориона(Stars-Orion)",,,18-19.02.1955,40m,08h34m,09h14m,08h34m,"7,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 7C,  пластинки Infra rot 700 (очувствленные после зкспозиции) + к.ф. 19, стандарт к снимку  7-1259.",
7-2370-a,NGC2023,05h41m,-02.15,19-20.01.1963,40m,,,,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"Astro uns +ж.ф. 12, имеет стандарт и калибровку.",
8-2515,Комета Юмасона (Хьюмасона C/1961R1) Humason,12h10m,-11.40,09-10.02.1964,12m,10h56m,11h08m,10h56m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= - 6C,  пластинки Kodak 103 OaO, имеет стандарт 25-2515-st.",
8-2531,Комета Юмасона (Хьюмасона C/1961R1)Humason,10h44m,-03.00,29-30.05.1964,15m,13h25m,13h40m,13h25m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 15C,  пластинки Kodak 103 OaO, имеет стандарт 21-2532-st.",
8-2535,Комета Юмасона (Хьюмасона C/1961R1)Humason,10h44m,-02.00,31.05-01.06.1964,15m,13h51m,14h06m,13h51m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 18C,  пластинки Kodak 103 OaO, имеет стандарт 21-2535-st. и калибровку 21-2535-Cal. Край пластинки плохо отфиксирован. ",
8-2547-a,Комета Копфа  22P(Kopff),23h32m,-05.00,09-10.07.1964,12m,20h54m,21h06m,20h54m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Матягин В.С.,"t= + 21C,  пластинки Kodak 103 OaO, имеет стандарт 8-2547-a-st. и калибровку 8-2547-a-Cal. ",
8-2547-b,Комета Копфа  22P(Kopff),23h32m,-05.00,09-10.07.1964,12m,21h14m,21h26m,21h14m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Матягин В.С.,"t= + 21C,  пластинки Kodak 103 OaO, имеет стандарт 8-2547-a-st. и калибровку 8-2547-a-Cal. ",
8-2549,Комета Копфа  22P(Kopff),,,20-21.07.1964,20m,22h23m,22h43m,22h23m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Глушков Ю.И.,"t= + 16C,  пластинки Astro spec., имеет стандарт 25-2549-st. и калибровку 25-2549-Cal.  Наблюдаются отдельные облака.",
8-2739,Комета Эверхарта(Everhart),19h08m,45.18,03-04.12.1964,12m,00h43m,00h55m,00h43m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= - 3.5C,  пластинки Astro spec., имеет стандарт 25-2739-st. ",
8-2740,Комета Эверхарта(Everhart),19h08m,45.18,03-04.12.1964,12m,01h05m,01h17m,01h05m,"8,9*9,9cm",50cm менисковый телескоп Максутова,,"t= - 3.5C,  пластинки Astro spec., имеет стандарт 25-2739-st. ",
8-2977,Комета Икейя-Секи (Ikeya-Seki),11h37m,-25.00,11-12.11.1965,1m,09h00m,09h01m,09h00m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Kodak 103 OaO, рассвет, Луна. ",
8-2978,Комета Икейя-Секи (Ikeya-Seki),11h37m,-25.00,11-12.11.1965,20s,09h09m00s,09h09m20s,09h09m00s,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Kodak 103 OaO, рассвет, Луна. ",
8-3001,Комета Икейя-Секи (Ikeya-Seki),10h56m,-31.30,23-24.11.1965,5m,09h35m,09h40m,09h35m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Astro spec., имеет стандарт 25-3001-st. и калибровку 25-3001-Cal. Утро.",
8-3002,Комета Икейя-Секи (Ikeya-Seki),10h40m,-33.00,26.11.1965,7m,09h33m,09h40m,09h33m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Astro spec., имеет стандарт 8-3005-st. и калибровку 25-3005-Cal. Утро.",
8-3003,Комета Икейя-Секи (Ikeya-Seki),10h40m,-33.00,26.11.1965,7m,09h45m,09h52m,09h45m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Astro spec., имеет стандарт 8-3005-st. и калибровку 25-3005-Cal. Утро.",
8-3004,Комета Икейя-Секи (Ikeya-Seki),10h40m,-33.00,26.11.1965,5m,09h56m,10h01m,09h56m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Astro spec., имеет стандарт 8-3005-st. и калибровку 25-3005-Cal. Утро.",
8-3005-st,Комета Икейя-Секи (Ikeya-Seki),10h40m,-33.00,26.11.1965,7m,10h04m,10h11m,10h04m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Astro spec., стандарт  к снимкам 8-3002, 8-3003, 8-3004,  метод Меткофа-Блажко. Утро.",
8-3715,Комета Томаса 1968j (Tomas-1968-j),07h18m,66.00,14-15.04.1969,12m,12h36m,12h48m,12h36m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 12.5C,  пластинки Kodak 103 OaO, имеет стандарт 8-3715-a-st.  и калибровку 8-3715-Cal.",
8-3715-a-st,Комета Томаса 1968j (Tomas-1968-j),07h18m,66.08,14-15.04.1969,12m,13h14m,13h26m,13h14m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 12.5C,  пластинки Kodak 103 OaO, стандарт к снимку 8-3715, метод Меткофа-Блажко, пошли облака. ",
8-3715-Cal,Calibrovka,,,14-15.04.1969,13m;12m;10m,12h32m;12h45m;13h15m,12h45m;12h57m;13h25m,12h32m,"3,0*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 12.5C,  пластинки Kodak 103 OaO, калибровка к снимкам 8-3715 и 8-3715-a-st, пошли облака. ",
8-3716,Комета Томаса 1968j (Tomas-1968-j),07h26m,65.00,18-19.04.1969,12m,11h26m,11h38m,11h26m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Kodak 103 OaO, имеет стандарт 8-3717-st, 8-3719-st  и калибровку 8-3717-Cal.",
8-3717-st,Комета Томаса 1968j (Tomas-1968-j),07h26m,65.00,18-19.04.1969,12m,11h47m,11h59m,11h47m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Kodak 103 OaO,  стандарт к снимкам 8-3716, 8-3718, метод Меткофа-Блажко .  ",
8-3718,Комета Томаса 1968j (Tomas-1968-j),07h26m,65.00,18-19.04.1969,12m,12h06m,12h18m,12h06m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Kodak 103 OaO, имеет стандарт 8-3717-st, 8-3719-st  и калибровку 8-3717-Cal.",
8-3719-st,SA11,07h11m,60.00,18-19.04.1969,12m,12h37m,12h49m,12h37m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Kodak 103 OaO,  стандарт к снимкам 8-3716, 8-3718.  ",
8-3717-Cal,Calibrovka,,,18-19.04.1969,13m;19m;9m; 13m;6m,11h25m;11h47m;12h06m; 12h16m;12h39m,11h38m;12h06m;12h15m; 12h29m;12h45m,11h25m,"3,0*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Kodak 103 OaO, калибровка к снимкам 8-3716,  8-3717-st, 8-3718 и 8-3719-st.",
8-3720,Комета Томаса 1968j (Tomas-1968-j),08h01m,61.40,03-04.05.1969,12m,11h38m,11h50m,11h38m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 14C,  пластинки Kodak 103 OaO,  светает, подсвечивает Луна.",
8-3721,Комета Томаса 1968j (Tomas-1968-j),08h01m,61.40,03-04.05.1969,8m,11h58m,12h06m,11h58m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 14C,  пластинки Kodak 103 OaO,  светает, подсвечивает Луна.",
8-5055,Комета Герельс (Gehrels) 1973u,01h15m,08.00,13-14.11.1973,7m,00h01m,00h08m,00h01m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 6.2C,  пластинки Kodak 103 OaF + ос14,  ветер, подсвечивает Луна.",
8-5056,Комета Герельс (Gehrels) 1973u,01h15m,08.00,13-14.11.1973,7m,00h16m,00h23m,00h16m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 6.2C,  пластинки Kodak 103 OaF + ос14,  ветер, подсвечивает Луна.",
8-5057,Комета Герельс (Gehrels) 1973u,01h13m,07.24,21-22.11.1973,14m,01h47m,02h01m,01h47m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= - 1.5C,  пластинки ZU-2,  мгла, дымка.",
8-5058,Комета Герельс (Gehrels) 1973u,01h13m,07.24,21-22.11.1973,14m,02h12m,02h26m,02h12m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= - 1.5C,  пластинки ZU-2,  мгла, дымка.",
8-5059,Комета Герельс (Gehrels) 1973u,01h13m,07.24,21-22.11.1973,21m,02h34m,02h55m,02h34m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= - 1.5C,  пластинки ZU-2,  мгла, дымка.",
8-5057-Cal,Calibrovka,,,21-22.11.1973,,,,,"3,0*9,9cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= - 1.5C,  пластинки ZU-2,  мгла, дымка.",
8-5274,Обл. Sky,17h12m,17.50,11-12.08.1982,10m,19h16m,19h26m,19h16m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 13C,  пластинки Kodak 103 OaD.",
8-5275,Обл. Sky,17h12m,17.50,11-12.08.1982,10m,18h54m,19h04m,18h54m,"8,9*9,9cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 13C,  пластинки Kodak 103 OaD.",
8-5276,Обл. Sky,17h16m,17.06,13-14.08.1982,22m,23h43m,24h05m,23h43m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 17.5C,  пластинки Kodak  IIIaJ (очувствленные).",
8-5277,Обл. Sky,17h16m,17.06,13-14.08.1982,22m,00h20m,00h42m,00h20m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 17.5C,  пластинки Kodak  IIIaJ (очувствленные).",
8-5278,Обл. Sky,17h16m,17.06,13-14.08.1982,11m,01h01m,01h012m,01h01m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 17.5C,  пластинки Kodak 103 OaD.",
8-5298,Комета  IRAS-Олкока (IRAS-Araki-Alcock),08h23m,-00.15,12-13.05.1983,6m,22h55m,23h01m,22h55m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 12C,  пластинки Kodak 103 OaO, имеет стандарт  8-5298-st  и калибровку 8-5298-Cal, метод Меткофа-Блажко. ",
8-5299,Комета  IRAS-Олкока (IRAS-Araki-Alcock),08h23m,-00.15,12-13.05.1983,5m,23h07m,23h12m,23h07m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 12C,  пластинки Kodak 103 OaO, имеет стандарт  8-5298-st  и калибровку 8-5298-Cal, метод Меткофа-Блажко. ",
